package_name,downloads
@vrsen/agentswarm-cli-linux-x64,1620
@vrsen/agentswarm-cli-linux-x64-baseline,1614
openclaw-cojad,1614
@vrsen/agentswarm-cli-windows-x64-baseline,1587
@vrsen/agentswarm-cli-windows-arm64,1583
@postman/pm-bin-windows-x64,1582
newawesome,1580
riskjs,1580
unicode-13.0.0,1567
foxfire,1560
hqchart,1552
react-native-notch-info,1549
@kilocode/cli-darwin-x64,1544
graphql-server-example,1543
@builder.io/buildercode-darwin-arm64,1532
@factory/cli-win32-x64,1530
@vrsen/agentswarm-cli-linux-x64-baseline-musl,1529
@kilocode/cli-darwin-x64-baseline,1529
@builder.io/buildercode-win32-x64,1525
@vkhanhqui/figma-mcp-go,1520
archgate-win32-x64,1509
@joggr/cli-linux-x64-musl,1508
@celo/client,1507
@socialgouv/fiches-vdd,1505
@factory/cli-win32-x64-baseline,1504
@vrsen/agentswarm-cli-darwin-x64-baseline,1504
@dotcms/dotcli,1500
@vrsen/agentswarm-cli-linux-arm64,1496
@dcl/unity-renderer,1491
@vrsen/agentswarm-cli-darwin-x64,1488
@builder.io/buildercode-linux-x64,1484
@codemod.com/cli-darwin-arm64,1481
@qvac/translation-nmtcpp,1475
@qvac/embed-llamacpp,1467
@cypress-bin/binary-win32-x64,1466
@vrsen/agentswarm-cli-linux-arm64-musl,1466
react-native-fatos-sdk,1460
@vrsen/agentswarm-cli-darwin-arm64,1460
codeep,1454
react-native-skia-graphite-android,1438
@joggr/cli-linux-x64,1438
@distilled.cloud/aws,1437
@capillarytech/creatives-library,1427
react-native-skia-graphite-apple-macos,1426
react-native-skia-graphite-apple-ios,1424
@humanlayer/cli-win32-x64,1424
@winglang/sdk,1402
windowpp,1397
@babylonjs/react-native-windows-0-64,1396
@multiplayer-app/cli-linux-x64,1396
bare-sidecar,1391
opengate-js,1380
@blaze-money/kindling,1362
makecoder-codex-win32-x64,1360
@joggr/cli-darwin-arm64,1359
@bulletproof-sh/ctrl-daemon-windows-x64,1356
@thebushidocollective/han-linux-x64,1352
space-data-server,1348
@qqbrowser/openclaw-qbot,1345
license-kit,1339
@agents-shire/cli-linux-x64,1330
@cyclonedx/cdxgen-plugins-bin-windows-amd64,1317
@chillicream/nitro,1317
cldpre,1303
zraldcli-darwin-x64-baseline,1302
smart-webcomponents,1292
rhachet,1286
@cypress-bin/binary-linux-x64,1286
@qvac/ocr-onnx,1278
rn-card-scanner,1277
itk,1262
zraldcli-linux-x64-musl,1261
@hugeicons/react-pro,1252
makecoder-codex-linux-x64,1240
coderider-linux-x64,1237
makecoder-codex-darwin-arm64,1228
ralphy-cli,1227
coderider-linux-x64-baseline-musl,1227
zraldcli-linux-x64-baseline,1226
react-native-kochava-measurement,1221
@joggr/cli-darwin-x64,1214
coderider-linux-x64-musl,1214
@kyburz/kdesign-system,1213
coderider-linux-x64-baseline,1210
zraldcli-darwin-x64,1209
@eclipse-docks/extension-cereusdb,1208
coderider-windows-x64,1208
obs-studio-node,1195
@sd-angular/core,1195
zraldcli-windows-x64-baseline,1188
@soundscript/cli-linux-x64,1182
@ribeec20/clawify,1180
esy,1171
@joggr/cli-windows-x64,1170
@cdktn/provider-google,1161
coderider-linux-arm64,1156
zraldcli-linux-x64,1154
@scratch/scratch-gui,1154
infiniloom-node,1153
@qvac/transcription-parakeet,1151
coderider-windows-x64-baseline,1150
@medusajs/email-preview-server,1146
storyly-react-native,1145
construct-hub,1141
@cardstack/hub,1141
@office-iss/rex-win32,1133
@joggr/cli-linux-arm64,1130
@vexp/plugin-cuda-win32-x64,1130
@kilocode/cli-windows-arm64,1127
@dianshuv/hapi-linux-arm64,1121
world-geojson,1118
ng2-arv-lib,1116
qq-chat-api-desktop-win-x64,1114
@fideliosai/server,1112
@multiplayer-app/cli-darwin-x64,1112
@adobe/coral-spectrum,1109
coderider-linux-arm64-musl,1109
@simonyea/holysheep-cli,1103
nxd-plugin,1101
serverless-offline-msk,1100
@upscalerjs/esrgan-thick,1098
@cdktn/provider-google-beta,1096
codebolt,1093
coderider-windows-arm64,1089
zraldcli-linux-arm64-musl,1087
zraldcli-windows-x64,1081
@kaoto/camel-catalog,1079
nori-ai-cli,1079
@jhl_labs/jvim-linux-x64,1077
@cubic-dev-ai/cli-linux-arm64,1073
@cyclonedx/cdxgen-plugins-bin-darwin-arm64,1071
@multiplayer-app/cli-windows-arm64,1071
@azure/mcp-darwin-x64,1071
gfaas,1065
cloud-ui.vusion,1064
iobroker.vis-2,1056
@g-bits/driver_redhat_x64,1050
@factory/cli-linux-arm64,1047
@dcl/inspector,1044
profoundjs,1042
@defra/interactive-map,1042
@agents-shire/cli-win32-x64,1033
@fugood/node-whisper-linux-x64-cuda,1027
zraldcli-linux-x64-baseline-musl,1026
@soundscript/cli-linux-arm64,1024
@soundscript/cli-win32-x64,1019
turtlecoin-cryptonote-util,1018
@stargatefinance/stg-evm-sdk-v2,1015
@memvid/cli-linux-x64,1012
zraldcli-linux-arm64,1011
@multiplayer-app/cli-windows-x64,1009
@agents-shire/cli-linux-arm64,1008
@soundscript/cli-darwin-arm64,1005
@microsoft/dataverse,998
@intlayer/backend,997
@cubic-dev-ai/cli-linux-arm64-musl,990
automagik-genie,986
bs-ajv,979
mp-design-system,978
@multiplayer-app/cli-linux-arm64,972
@skyforgeai/skyforge-linux-x64,969
@aptos-scp/scp-component-rn-device-services,966
@toothfairyai/tfcode-linux-arm64-musl,965
@clicli/app,965
node-linux-ppc64le,964
@soundscript/cli-darwin-x64,962
@govtechsg/open-attestation-cli,961
@legna-lnc/legnacode-linux-x64,960
codegenie-windows-x64,957
@codemation/next-host,955
product-lixian,955
@geminilight/mindos,954
@dianshuv/hapi-win32-x64,952
@grappa-xyz/sdk-js,951
@sap/open.fe,945
@hyperlane-xyz/cli,943
@contextzero/nest-linux-x64,942
forgecode,939
@webitel/api-services,936
hunkdiff-linux-x64,933
@memory.build/cli-windows-x64,931
@skyforgeai/skyforge-darwin-x64,928
@toothfairyai/tfcode-linux-x64-musl,927
@polygonjs/polygonjs,924
quasar-extras-svg-icons,922
@theforeman/vendor,922
royco,921
lemonsiren,918
@codemod.com/cli-win32-x64-msvc,912
lightfold,910
@skyforgeai/skyforge-windows-x64,908
app-ui-tauros,906
db-hafas-stations,901
@dianshuv/hapi-linux-x64,900
@kontur.candy/engine,900
routiform,893
@qvac/diffusion-cpp,890
waifu2x,890
@contextzero/nest-win32-x64,889
@tomashighres/gamma,886
@skyforgeai/skyforge-darwin-arm64,886
@granite-js/devtools-frontend,885
@pact-foundation/pact-standalone,884
@toothfairyai/tfcode-linux-x64-baseline-musl,883
aspose.cells.node.darwin.arm64,882
@agenticmail/enterprise,879
design-comuni-plone-theme,876
local-saml-idp,875
@matrix-ai/oh-my-matrix-windows-x64-baseline,874
@babylonjs/react-native-windows-0-69,873
aws-analytics-reference-architecture,872
@finbourne/lusid-preview,872
@skyforgeai/skyforge-linux-arm64,871
@toothfairyai/tfcode-darwin-x64-baseline,871
@ironsoftware/ironpdf-engine-windows-x64,869
@wix/ricos,865
@cdxgen/cdxgen-plugins-bin-windows-arm64,862
@matrix-ai/oh-my-matrix-windows-x64,859
@aiot-toolkit/velasim,856
mta-gtfs-static,851
@legna-lnc/legnacode-linux-arm64,850
btca,849
facepass-react-native-module,849
@factory/cli-darwin-x64-baseline,847
ut-tools,843
anycloud,842
noto-fontface-cjk-jp,841
react-native-sia,836
cypress-browser-extension-plugin,820
@viro-community/react-viro,815
@alumnium/cli-windows-x64,815
@traces-sh/traces-linux-x64,813
@hippox/codegenie-win32-x64,809
poker-evaluator,809
mac-hbuilderx-plugin-launcher,803
hbuilderx-plugin-uniapp-runextension,802
@factory/cli-darwin-x64,802
@zweicli/linux-x64,800
galx-storage,798
cdk-cr-constructs,798
@embedder/embedder-linux-x64,791
grok-dev,788
@toothfairyai/tfcode-linux-arm64,787
@bethinkpl/design-system,784
@sylphai/adal-cli-linux-x64,781
@sylphai/adal-cli-win32-x64,781
@legna-lnc/legnacode-win32-ia32,781
node-linux-armv7l,780
@legna-lnc/legnacode-win32-x64,776
@antinomyhq/forge,774
@cdxgen/cdxgen-plugins-bin-darwin-amd64,773
@alumnium/cli-windows-arm64,771
@toothfairyai/tfcode-windows-x64-baseline,770
@d3k/linux-x64,769
dynamock,767
@rajkoli145/friday,765
@sylphai/adal-cli-darwin-arm64,764
ol-cesium,759
react-native-vosk,758
@pickup-cli/win32-x64,757
quantumic-design,755
@toothfairyai/tfcode-linux-x64,754
@cyclonedx/cdxgen-plugins-bin-darwin-amd64,753
@c4a/server-cli,752
wuic-framework-lib,751
@involvex/youtube-music-cli,750
@vechain/vebetterdao-contracts,748
wp-studio,747
syncfusion-javascript,747
@toothfairyai/tfcode-windows-x64,745
goatchain-cli-windows-x64,745
ghost-architect-open,744
@synsci/cli2-linux-x64,744
hunkdiff-linux-arm64,744
@campxdev/pdfme,741
@tursodatabase/sync-react-native,741
@aerisweather/react-mapsgl,741
@aragon/aragen,740
@mb-it-org/cli,740
retypeapp-linux-x64,740
@synsci/cli2-linux-x64-musl,733
@synsci/cli2-linux-x64-baseline-musl,732
goatchain-cli-linux-x64,730
@zigc/lib,729
betterncm-packed-plugins,727
@ip-location-db/dbip-city,726
@synsci/cli2-linux-x64-baseline,724
kifaru-linux-x64-baseline,723
numasec-linux-x64-musl,723
kifaru-darwin-arm64,722
cloudworker-proxy,721
@browserless.io/browserless,719
@zweicli/windows-x64,717
numasec-linux-x64,716
goatchain-cli-linux-arm64,716
opentest-actor,714
@lavilas/codex-win32-x64,708
@machina.ai/cell-code-windows-x64,708
@factory/cli-win32-arm64,707
@cubic-dev-ai/cli-windows-x64,704
tree-sitter-objectscript,702
@sylphai/adal-cli-darwin-x64,702
@lavilas/codex-darwin-x64,702
@strvmarv/total-recall,701
kifaru-linux-x64-baseline-musl,700
acp-extension-codex-linux-x64,699
@synsci/cli2-linux-arm64,697
aid-elements,697
kifaru-windows-x64,695
@lavilas/codex-win32-arm64,695
@machina.ai/cell-code-windows-arm64,689
live2dapi-noa,688
@lavilas/codex-linux-arm64,688
kifaru-linux-arm64-musl,686
@synsci/cli2-windows-x64-baseline,686
@toothfairyai/tfcode-darwin-arm64,686
kifaru-linux-arm64,685
@andes/plex,683
@machina.ai/cell-code-linux-x64-musl,683
@machina.ai/cell-code-linux-arm64,682
openwork-orchestrator-windows-x64,681
minecraft-assets,680
jamkit,678
@synsci/cli2-windows-x64,678
@machina.ai/cell-code-darwin-arm64,677
killstata-windows-x64,674
@machina.ai/cell-code-linux-x64,671
numasec-linux-x64-baseline,671
@circuitorg/agent-cli,669
@lavilas/codex-darwin-arm64,668
kifaru-darwin-x64,664
zeeve-cli-corda-enterprise-plugin,664
sirocco-wc,664
@cdktn/provider-kubernetes,664
@machina.ai/cell-code-linux-x64-baseline,663
@codemod.com/cli-linux-arm64-gnu,662
numasec-darwin-x64,661
@machina.ai/cell-code-linux-x64-baseline-musl,660
turtlecode-backend-linux-arm64-musl,660
form-imagining,659
node-linux-s390x,658
irises-linux-arm64,657
@cdktn/provider-azurerm,657
@sylphai/adal-cli-linux-arm64,657
@webalexx/projen-multi-cloud-project,657
@iubns/openclaw,655
@scratch/scratch-gui-standalone,655
@codemieai/codemie-opencode-windows-x64-baseline,655
numasec-linux-x64-baseline-musl,655
ruchy-syntax-tools,655
@machina.ai/cell-code-darwin-x64-baseline,655
@toothfairyai/tfcode-linux-x64-baseline,654
droplocation-cypress-binaries-win32,653
@codemieai/codemie-opencode-windows-x64,653
consortium-code-darwin-arm64,653
@zigc/linux-x64,652
turnilo,652
@mcpmesh/cli-darwin-arm64,651
@cubic-dev-ai/cli-windows-x64-baseline,651
nipurn-xprompt-new-linux-x64-baseline,650
@synsci/cli2-darwin-arm64,650
@synsci/cli2-darwin-x64-baseline,649
depository-deploy-linux,648
nipurn-xprompt-new-linux-x64-musl,648
@toothfairyai/tfcode-windows-arm64,644
numasec-darwin-x64-baseline,644
@wachi-cli/win32-x64,642
@nativescript/canvas,641
@synsci/cli2-linux-arm64-musl,640
nipurn-xprompt-new-linux-x64-baseline-musl,640
@zenku/cli-linux-arm64,638
