package,version,fan_in_global,fan_out_global,jt_in_degree,jt_out_degree,jt_instability,global_instability,jt_dependency_score,msr_ecosystem_risk_score
jscenekit,0.5.2,1,30,0,0,1.0000,0.9677,30,2.91
@melonproject/smart-contracts,0.8.13,1,30,0,1,1.0000,0.9677,30,2.91
vcremote-lib,2.3.22,1,29,0,0,1.0000,0.9667,29,2.91
evm-lite-cli,1.4.1,1,28,1,0,0.9655,0.9655,29,2.91
9router-fdk,0.3.43,1,30,1,2,0.9677,0.9677,31,2.91
serverless-offline-aws-eventbridge,2.2.4,1,27,0,0,1.0000,0.9643,27,2.90
@qvac/tts-onnx,0.9.0,1,26,0,1,1.0000,0.9630,26,2.90
@tansuasici/country-state-city,2.0.10,1,27,1,2,0.9643,0.9643,28,2.90
@react-native-oh-tpl/realm,12.13.1-0.0.7-rc.0,1,27,0,1,1.0000,0.9643,27,2.90
cojson-core-rn,0.20.18,1,25,0,1,1.0000,0.9615,25,2.89
@socialgouv/legi-data,2.526.0,1,24,0,0,1.0000,0.9600,24,2.89
cactus-react-native,1.13.1,1,25,0,1,1.0000,0.9615,25,2.89
quran-search-engine,0.3.2,1,25,0,0,1.0000,0.9615,25,2.89
mycrypto-trezor-link,1.5.1,1,25,0,1,1.0000,0.9615,25,2.89
@qvac/transcription-parakeet,0.5.0,1,22,0,1,1.0000,0.9565,22,2.88
@stargatefinance/stg-evm-sdk-v2,2.0.2,1,22,0,2,1.0000,0.9565,22,2.88
@sayduck/gltf-pipeline,3.4.2-pre-1,1,22,0,0,1.0000,0.9565,22,2.88
mass-app,0.0.3,1,23,1,1,0.9583,0.9583,24,2.88
hyperbridge-funding-protocol,1.0.14,1,23,0,0,1.0000,0.9583,23,2.88
vistorian-nodelink,0.1.13,1,22,1,0,0.9565,0.9565,23,2.88
@meatech/payblend_app_ui_component,1.1.78,1,23,1,1,0.9583,0.9583,24,2.88
@webitel/api-services,0.1.36,1,21,0,0,1.0000,0.9545,21,2.87
@fireenjin/mx,1.5.2,1,21,0,0,1.0000,0.9545,21,2.87
@cocalc/share,0.8.3,1,20,0,1,1.0000,0.9524,20,2.87
@bunchtogether/ffmpeg-static,1.3.0,1,21,0,1,1.0000,0.9545,21,2.87
hyperbridge-reserve,1.0.14,1,20,0,0,1.0000,0.9524,20,2.87
@elasticprojects/abstract-cli,13.4.5,2,3,0,0,1.0000,0.6000,3,2.86
nswag-portable,13.20.0-v.17,2,3,0,0,1.0000,0.6000,3,2.86
@onomy/jsi-rn-wallet-core,0.1.0,1,19,0,0,1.0000,0.9500,19,2.86
license-kit,0.3.4,1,19,0,1,1.0000,0.9500,18,2.86
waifu2x,1.6.5,1,19,0,0,1.0000,0.9500,19,2.86
code-monkey-ui,1.1.16,1,19,0,0,1.0000,0.9500,19,2.86
--123hoodmane-pyodide,0.20.0-b,1,19,0,0,1.0000,0.9500,19,2.86
@material-symbols-svg/react-rounded,0.1.22,1,18,0,0,1.0000,0.9474,18,2.85
