package,file_count,file_fan_in_avg,file_fan_out_avg,func_count,func_fan_in_avg,func_fan_out_avg,class_count,class_fan_in_avg,class_fan_out_avg
react-native-user-identity,2,0.0000,0.0000,1,0.0000,1.0000,0,0.0000,0.0000
geojson-places,12,1.0000,1.0000,61,0.2131,0.2459,0,0.0000,0.0000
@f5xc-salesdemos/pi-natives-darwin-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@nativescript/ios,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
hopcoderx-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
geoip-lite2,6,1.0000,1.0000,68,0.3382,0.3971,0,0.0000,0.0000
happy-coder,21,1.5714,1.5714,491,0.0937,0.1181,40,1.1750,1.1750
@nutrient-sdk/node,8,0.1250,0.1250,1113,0.0575,0.0638,116,1.1552,0.9224
hopcoderx-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
hopcoderx-linux-x64-baseline-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@embedded-postgres/darwin-x64,3,0.0000,0.0000,1,0.0000,0.0000,0,0.0000,0.0000
@digabi/exam-engine-exams,2,0.0000,0.0000,3,0.6667,0.6667,0,0.0000,0.0000
@chrryai/waffles,72,1.4722,1.4722,145,0.3931,0.6069,3,0.0000,0.0000
hopcoderx-linux-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
react-native-wgpu,84,0.3452,0.3452,48,0.0625,0.3958,15,0.6000,0.6000
slopcode-bin-linux-arm64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
bare-ffmpeg,33,2.8182,2.8182,4,0.0000,0.5000,2,0.0000,0.0000
hopcoderx-windows-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
hopcoderx-windows-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@realtimex/node-llama-cpp-linux-x64-cuda,1,0.0000,0.0000,1,0.0000,0.0000,0,0.0000,0.0000
hopcoderx-linux-arm64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@material-symbols-svg/react,8188,0.9957,0.9957,3,0.0000,0.3333,0,0.0000,0.0000
@realtimex/node-llama-cpp-win-x64-cuda,1,0.0000,0.0000,1,0.0000,0.0000,0,0.0000,0.0000
@finbourne/lusid-sdk-angular18,1490,0.0000,0.0000,0,0.0000,0.0000,84,0.0000,0.0000
hopcoderx-linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
britecharts,157,0.5350,0.5350,10503,0.0742,0.0861,0,0.0000,0.0000
@kolbo/kolbo-code-linux-x64,5,0.0000,0.0000,43,0.0233,0.1395,0,0.0000,0.0000
