package,version,size_bytes,fan_in_total,fan_out,global_instability,coupling_volume,dependency_balance
agent-swarm-cli-darwin-x64-baseline,1.3.15,130845376,0,0,0.0,0,0
galeneai-cli-linux-arm64-musl,0.0.28,130440910,0,0,0.0,0,0
@datobs/react-native-perspective-image-cropper,0.4.13,123625397,0,6,1.0,6,-6
@ohmi/react-native-openharmony,1.1.0-rc.0.0.55,137582526,0,3,1.0,3,-3
denoiser,0.0.11,134725278,0,14,1.0,14,-14
threesysbuild,1.0.2,129531549,0,0,0.0,0,0
@meatech/payblend_app_ui_component,1.1.78,122796650,1,23,0.9583,24,-22
ocv4,4.4.0-dev2,123204348,0,0,0.0,0,0
visualmodo-blog-zh,2023.404.1,132203526,0,0,0.0,0,0
zad8-npmjs,1.0.0,126289725,0,0,0.0,0,0
aiagentmarket,3.0.51,120808147,0,11,1.0,11,-11
react-native-baidu-map-by-hong,0.6.8,121292923,0,0,0.0,0,0
qshell,2.0.0,121211729,2,0,0.0,2,2
gisviewer-vue,0.6.363,120528003,4,56,0.9333,60,-52
@neokai/cli-linux-x64,0.27.1,108645004,0,0,0.0,0,0
app-statistics,0.2.1,118925511,0,5,1.0,5,-5
@react-native-ohos/op-sqlite,14.0.1,120904995,0,8,1.0,8,-8
lokocdnms-pkg-03,1.0.0,132391005,0,0,0.0,0,0
@enactprotocol/enact-linux-x64,2.3.8,117677415,0,0,0.0,0,0
@learncard/lca-api-service,1.2.9,120702062,1,51,0.9808,52,-50
xqdhrdhrdhr-np,1.0.0,128062418,0,0,0.0,0,0
vaporyjs-testing,0.0.1-a,690773373,7,3,0.3,10,4
jadu-pulsar,11.0.0-beta.1,869956691,0,80,1.0,80,-80
adarga,1.0.14,117538202,0,0,0.0,0,0
@margarettevelasquez/cafe24-zipcode,0.1.0,1250160685,0,24,1.0,24,-24
orion-app,0.0.0,1057378198,0,50,1.0,50,-50
@proofofplay/erc721-extensions,0.0.3,1370611604,0,0,0.0,0,0
@samverschueren/amplify-cli,10.8.1,659452761,0,89,1.0,89,-89
bytemystery-au-input,1.0.0,642916119,0,22,1.0,22,-22
@nxpkmn/ps,1.0.0,476642007,0,37,1.0,37,-37
expo-sherpa-onnx,0.0.8,482468376,0,9,1.0,9,-9
@nwjs-binaries/linux-ia32,0.87.0-sdk,555908758,0,0,0.0,0,0
method-crm,0.1.0,427281165,0,83,1.0,83,-83
@tony1992/psd-tools,1.0.0,467831824,0,18,1.0,18,-18
create-eliza,0.2.4,417563032,0,1,1.0,1,-1
@logisticinfotech/react-native-openalpr,1.0.0,480552981,0,0,0.0,0,0
react-gchart-offline,1.0.0,408807166,0,0,0.0,0,0
react-native-sscs-hhs-items,1.0.0,430676134,0,17,1.0,17,-17
com.funplus.sdk,1.0.0,373980359,0,0,0.0,0,0
react-native-template-acid21,1.0.0,407038454,0,0,0.0,0,0
@trygentic/agentloop-linux-x64,0.21.0-alpha.11,373467019,0,0,0.0,0,0
awesomeproject_abhiram_testing,0.0.1,402836173,0,22,1.0,22,-22
hsapp,0.0.1,395490802,0,10,1.0,10,-10
unitygamecheck,0.0.1,368956374,0,10,1.0,10,-10
bgs-zsh,1.0.0,366110189,0,0,0.0,0,0
@medarkta/explorer,1.3.6,352460894,0,0,0.0,0,0
ffprobe-static-next,4.1.3,298894048,2,1,0.3333,3,1
dotnet-sdk-3.1-osx-x64,3.1.1007,321847313,0,0,0.0,0,0
commonframe,0.0.1,330369046,0,8,1.0,8,-8
@fraserbenjamin/react-viro,2.17.0,296420120,0,2,1.0,2,-2
cef-screenshot-darwin-arm64,0.3.2,318161397,0,0,0.0,0,0
react-native-card-stack-swiper-stek,1.0.0,301801122,0,0,0.0,0,0
@stonerzju/opencode,1.2.26,294116140,0,0,0.0,0,0
library-social-network,0.1.0,285706229,0,19,1.0,19,-19
ai-magnet,0.1.33,259059834,0,62,1.0,62,-62
react-native-sm-agora,3.1.0,308340720,0,13,1.0,13,-13
@camfolio/react-viro,2.22.0,288057120,0,7,1.0,7,-7
newawesometest,1.1.0,266347284,0,23,1.0,23,-23
rickandmortytrial,0.0.1,293648518,0,18,1.0,18,-18
ci-ui-base,1.3.6,246644891,0,16,1.0,16,-16
beaf-ui-test,0.0.1,283389387,0,11,1.0,11,-11
@trygentic/agentloop-darwin-arm64,0.21.0-alpha.11,251728435,0,0,0.0,0,0
@hashgraph/asset-tokenization-contracts,7.0.0,259415758,1,36,0.973,37,-35
track-module-app,0.0.1,247296930,0,10,1.0,10,-10
fatback,1.0.0,228393881,0,60,1.0,60,-60
demo-package-slider,1.0.0,258928202,0,15,1.0,15,-15
atompm,0.8.2,234837242,0,6,1.0,6,-6
dcl-kernel,6.4.2,252979735,0,91,1.0,91,-91
@agicrew/sidecar-dashboard,1.0.7,221631602,0,28,1.0,28,-28
@wispbit/local-win32-x64-msvc,1.0.106,226289118,0,0,0.0,0,0
rrreward,1.0.0,245290541,0,0,0.0,0,0
phonepe,0.0.1,246047327,0,22,1.0,22,-22
@peteturnbull/pi-extensions,1.0.6,197836652,0,0,0.0,0,0
ng-bootstrap-searchbox,0.0.2,201584850,0,13,1.0,13,-13
wifitestinfo,1.0.3,238880317,0,17,1.0,17,-17
agda-wasm,0.0.1,205612290,0,0,0.0,0,0
oasis-ai-agent,2026.3.31,212846722,0,69,1.0,69,-69
@codegenie-ai/codegenie-cli-darwin-arm64,0.0.1-beta,218066080,0,0,0.0,0,0
map-plugin-arcgis,1.0.23,237597100,0,53,1.0,53,-53
@nexray/app-playground,0.1.0-alpha.4,183267432,0,25,1.0,25,-25
@alvix/xenova-models,1.0.2,225370124,0,0,0.0,0,0
my-mychatbot,0.6.9,218703510,0,1,1.0,1,-1
react-native-csjads-1,1.0.1,187312116,0,2,1.0,2,-2
unify-theme,1.0.0,204164724,0,0,0.0,0,0
@lyyyuna/milvus-lite-linux-x64,2.5.102,177759445,0,0,0.0,0,0
package-insert-cgb.js,1.0.0,185794436,0,0,0.0,0,0
@polyv/interactions-receive-sdk-ui-default,1.23.0,166648083,0,0,0.0,0,0
sahyacode-linux-x64,2.14.3,166865955,0,0,0.0,0,0
@sila-standard/proto-builder,0.0.1,161403788,1,12,0.9231,13,-11
@anieo/codegenie-cli-windows-arm64,1.3.3,161545320,0,0,0.0,0,0
video-ohmygril-nonstop,1.0.1,189960234,0,0,0.0,0,0
coursedio-01ia-dna-gninrael-enihcam-htiw-smetsys-rednemmocer-gnidliub-0snoitadnemmocer-eivom-etaerc-dna-slairetam-esruoc-weiver-adnocana-llatsni,1.0.2,175193183,0,0,0.0,0,0
doc-gen,0.1.0,159875863,0,44,1.0,44,-44
video-iu-celebrity,1.0.1,183726983,0,0,0.0,0,0
n8n-nodes-ffmpeg-pro-v2,1.1.2,159763292,0,7,1.0,7,-7
@ronii/zerokey-linux-x64-musl,0.0.0-dev-202604010446,161427685,0,0,0.0,0,0
htmlcoincore-node,0.0.19,164519078,0,30,1.0,30,-30
winapp-mcp,2.0.0,152370750,0,0,0.0,0,0
octopus-blog-zh,2023.305.0,182794997,0,0,0.0,0,0
@mcpengine/darwin-arm64,3.7.9,154054066,0,0,0.0,0,0
@harvi-code/harvicode-linux-x64,1.4.8,127367610,0,0,0.0,0,0
bns-client,0.1.9,144702359,0,27,1.0,27,-27
yunesss-artplayer-packages,1.0.0,156361100,0,24,1.0,24,-24
my-electron-new-app,1.0.1,164295495,0,17,1.0,17,-17
interbit-template,0.4.53,142814271,0,19,1.0,19,-19
@anieo/codegenie-cli-linux-x64-baseline-musl,1.3.3,145742567,0,0,0.0,0,0
weex-device,0.0.3,149559319,0,48,1.0,48,-48
@thesolaceproject/emberharmony-linux-arm64,1.2.2,144196197,0,0,0.0,0,0
@symbolic-agent/symbolic-windows-arm64,1.0.0,141894881,0,0,0.0,0,0
@pixelml/claw-linux-x64,0.0.1,143242294,0,0,0.0,0,0
ngrpp,1.0.0,163886058,0,0,0.0,0,0
@zimppy/core-napi,0.5.0,146777150,1,0,0.0,1,1
sevencode-core-windows-x64,0.0.2,141647477,0,0,0.0,0,0
jam-darwin-arm64,0.10.0,139281122,0,0,0.0,0,0
moyu-cdnms-pkg-03,1.0.0,151599676,0,0,0.0,0,0
